[WARN] 2015-01-16 11:40:24.147	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.147	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/help/help.detail.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/help/page.js"]
[INFO] 2015-01-16 11:40:24.147	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/index/index.ftl
[WARN] 2015-01-16 11:40:24.147	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.147	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/index/index.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/index/index.js"]
[INFO] 2015-01-16 11:40:24.157	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/index/subpage.ftl
[WARN] 2015-01-16 11:40:24.157	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[INFO] 2015-01-16 11:40:24.157	-	ignore comment line: script src="http://10.240.140.216:8080/target/target-script-min.js"></script
[DBUG] 2015-01-16 11:40:24.157	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/index/subpage.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/index/subpage.js"]
[INFO] 2015-01-16 11:40:24.157	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/index.ftl
[DBUG] 2015-01-16 11:40:24.157	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/index.ftl -> undefined
[INFO] 2015-01-16 11:40:24.167	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/login.ftl
[WARN] 2015-01-16 11:40:24.167	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.167	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/login.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/login.js"]
[INFO] 2015-01-16 11:40:24.167	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/nogoods.ftl
[WARN] 2015-01-16 11:40:24.167	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.177	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/nogoods.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/error/nogoods.js"]
[INFO] 2015-01-16 11:40:24.177	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/buy.ftl
[WARN] 2015-01-16 11:40:24.177	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[INFO] 2015-01-16 11:40:24.177	-	ignore comment line: script src="http://10.240.140.216:8080/target/target-script-min.js"></script
[DBUG] 2015-01-16 11:40:24.177	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/buy.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/buy/index.js"]
[INFO] 2015-01-16 11:40:24.187	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/codsucc.ftl
[WARN] 2015-01-16 11:40:24.187	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.187	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/codsucc.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/codsucc.js"]
[INFO] 2015-01-16 11:40:24.187	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/express.ftl
[WARN] 2015-01-16 11:40:24.187	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[INFO] 2015-01-16 11:40:24.197	-	ignore comment line: script src="http://10.240.140.216:8080/target/target-script-min.js"></script
[DBUG] 2015-01-16 11:40:24.197	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/express.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/express.js"]
[INFO] 2015-01-16 11:40:24.197	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/orderDetail.ftl
[WARN] 2015-01-16 11:40:24.197	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.197	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/orderDetail.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/orderDetail.js"]
[INFO] 2015-01-16 11:40:24.207	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/orderfail.ftl
[WARN] 2015-01-16 11:40:24.207	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.207	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/orderfail.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/orderfail.js"]
[INFO] 2015-01-16 11:40:24.207	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/orderlist.ftl
[WARN] 2015-01-16 11:40:24.207	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[INFO] 2015-01-16 11:40:24.207	-	ignore comment line: script src="http://10.240.140.216:8080/target/target-script-min.js"></script
[DBUG] 2015-01-16 11:40:24.217	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/orderlist.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/index.js"]
[INFO] 2015-01-16 11:40:24.217	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/payfail.ftl
[WARN] 2015-01-16 11:40:24.217	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.217	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/payfail.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/payfail.js"]
[INFO] 2015-01-16 11:40:24.217	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/paysucc.ftl
